Agency,Mode,Fuel,State,Total_Energy,Total_Emissions_kg,Total_Emissions_lb,UPT,MILES
Massachusetts Bay Transportation Authority,Demand Response,Gasoline,MA,1089105,20398936.650000002,44971903.717323,234975556,1103417623
"Prince George's County, Maryland",Motor Bus,Diesel Fuel,MD,880267,19761994.15,43567687.54297299,1800711,13130314
County of Miami-Dade,Demand Response,Gasoline,FL,1054817,19756722.41,43556065.3595342,77961885,414128978
Northern New England Passenger Rail Authority,Commuter Rail,Diesel Fuel,ME,861435,19339215.75,42635621.82676499,517276,44255935
Southeastern Pennsylvania Transportation Authority,Demand Response,Gasoline,PA,1032420,19337226.6,42631236.506892,197264920,834809485
Delaware Transit Corporation,Demand Response,Liquified Petroleum Gas,DE,1503929,19069819.72,42041705.95110639,7629486,49897548
Greater Richmond Transit Company,Rapid Bus,C Natural Gas,VA,154863,18715193.55,41259890.004200995,9723640,48410504
Potomac and Rappahannock Transportation Commission,Commuter Bus,Bio-Diesel,VA,832298,18685090.099999998,41193523.33626199,2158231,54836885
Clark County Public Transportation Benefit Area Authority,Motor Bus,Diesel Fuel,WA,802468,18015406.599999998,39717125.69849199,4492306,19621461
Pittsburgh Regional Transit,Demand Response,Gasoline,PA,942498,17652987.54,38918129.390434794,37908532,155119545
King County,Demand Response,Gasoline,WA,940728,17619835.44,38845041.6077328,78886848,301530502
Whatcom Transportation Authority,Motor Bus,Electric Battery,WA,132093,17495602.870335933,38571156,3724696,11921726
The Greater Cleveland Regional Transit Authority,Motor Bus,Diesel Fuel,OH,762197,17111322.65,37723964.14064299,22415370,102838552
Capital Area Transportation Authority,Motor Bus,Diesel Fuel,MI,761706,17100299.7,37699662.724613994,7633877,22977380
"Academy Lines, Inc.",Commuter Bus,Bio-Diesel,NJ,737782,16563205.9,36515574.991257995,1064165,44972754
"City of Gainesville, FL",Motor Bus,Diesel Fuel,FL,736614,16536984.299999999,36457766.327465996,5170533,17908961
City of Charlotte North Carolina,Commuter Bus,Electric Battery,NC,56836,16473679.81783709,36318204,14027141,67531449
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Motor Bus,Electric Battery,MA,38740,16219130.734548358,35757020,3860264,40644147
MetroWest Regional Transit Authority,Motor Bus,C Natural Gas,MA,131563,15899388.549999999,35052109.98510099,479776,2476730
Birmingham-Jefferson County Transit Authority,Demand Response,C Natural Gas,AL,131175,15852498.75,34948735.794225,1795762,9332038
Stark Area Regional Transit Authority,Demand Response,C Natural Gas,OH,129875,15695393.75,34602378.969124995,1387558,10133529
Beaver County Transit Authority,Motor Bus,C Natural Gas,PA,129413,15639561.049999999,34479289.082050994,461712,3621844
Ben Franklin Transit,Motor Bus,Diesel Fuel,WA,691401,15521952.45,34220006.810319,3178377,24325382
Gwinnett County Board of Commissioners,Commuter Bus,Diesel Fuel,GA,683151,15336739.95,33811683.62856899,1177163,12311104
County of Lackawanna Transit System,Motor Bus,C Natural Gas,PA,125884,15213081.399999999,33539063.516067993,798042,3912648
Kitsap County Public Transportation Benefit Area Authority,Motor Bus,Electric Battery,WA,114159,15120260.180892853,33334428,2739131,24094434
City of Albany,Motor Bus,C Natural Gas,GA,124607,15058755.95,33198834.542488996,273626,1501671
Jacksonville Transportation Authority,Motor Bus,Diesel Fuel,FL,666575,14964608.75,32991275.742425,6678105,36776548
City of Tallahassee,Motor Bus,C Natural Gas,FL,122623,14818989.549999999,32670240.741720993,2588477,10140885
Transit Authority of Northern Kentucky,Motor Bus,Diesel Fuel,KY,651441,14624850.45,32242237.799078997,1913143,10690427
Greater Portland Transit District,Motor Bus,Electric Battery,ME,74699,14501896.92554726,31971172,1694203,9826377
Cobb County,Motor Bus,Diesel Fuel,GA,644681,14473088.45,31907660.258638997,854074,4391380
Cambria County Transit Authority,Motor Bus,C Natural Gas,PA,118980,14378733,31699642.346459996,804968,4713352
Hillsborough Area Regional Transit Authority,Motor Bus,Diesel Fuel,FL,636515,14289761.75,31503494.549285,12574593,53491817
City of Alexandria,Motor Bus,Diesel Fuel,VA,626033,14054440.85,30984701.386726998,4580105,10493813
Research Triangle Regional Public Transportation Authority,Motor Bus,Electric Battery,NC,48139,13952890.294018924,30760820.999999996,1653233,14834526
Atlanta-Region Transit Link Authority,Commuter Bus,Diesel Fuel,GA,619676,13911726.2,30670069.815043997,845274,27738955
Broward County Board of County Commissioners,Demand Response,Gasoline,FL,740535,13870220.55,30578565.628941,23209964,119090315
South Central Transit Authority,Motor Bus,Bio-Diesel,PA,600420,13479429,29717018.761979997,3560909,17522092
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,Diesel Fuel,WA,595542,13369917.9,29475588.400698,7146008,58898665
St. Cloud Metropolitan Transit Commission,Demand Response,C Natural Gas,MN,110364,13337489.399999999,29404095.881027993,774825,3454101
Champaign-Urbana Mass Transit District,Motor Bus,Bio-Diesel,IL,587869,13197659.049999999,29095823.094810996,8573106,14797075
County of Volusia,Motor Bus,Diesel Fuel,FL,579842,13017452.9,28698537.012397997,2292313,19892288
Jacksonville Transportation Authority,Motor Bus,Electric Battery,FL,35484,12779660.893940907,28174296,6678105,36776548
Municipality of Anchorage,Motor Bus,Diesel Fuel,AK,562482,12627720.9,27839326.050557997,3117877,20591368
Intercity Transit,Motor Bus,Diesel Fuel,WA,556132,12485163.4,27525040.934908,3898995,24528110
The Greater Cleveland Regional Transit Authority,Demand Response,Gasoline,OH,665358,12462155.34,27474316.905670796,22415370,102838552
New Jersey Transit Corporation,Hybrid Rail (Alternative),Diesel Fuel,NJ,550499,12358702.549999999,27246242.815780994,198590133,2314384007
Ann Arbor Area Transportation Authority,Motor Bus,Diesel Fuel,MI,549826,12343593.7,27212933.542893995,4680565,23620240
Toledo Area Regional Transit Authority,Motor Bus,Diesel Fuel,OH,543431,12200025.95,26896421.209888995,1891108,13977629
Lee County,Motor Bus,Diesel Fuel,FL,524608,11777449.6,25964800.937152,1742894,10735134
Central Puget Sound Regional Transit Authority,Commuter Bus,Bio-Diesel,WA,517602,11620164.9,25618047.941838,37571636,346306031
Birmingham-Jefferson County Transit Authority,Rapid Bus,C Natural Gas,AL,89546,10821634.1,23857590.969541997,1795762,9332038
Greater Bridgeport Transit Authority,Motor Bus,Diesel Fuel,CT,481634,10812683.299999999,23837857.856845994,5266649,15150397
City of Knoxville,Motor Bus,Diesel Fuel,TN,474097,10643477.65,23464823.696743,2312188,7161127
Research Triangle Regional Public Transportation Authority,Motor Bus,Diesel Fuel,NC,453333,10177325.85,22437136.115427,1653233,14834526
County of Rockland,Motor Bus,Diesel Fuel,NY,450480,10113276,22295930.53512,1385483,8437498
Lane Transit District,Motor Bus,Diesel Fuel,OR,450303,10109302.35,22287170.146856997,6311613,22779952
"Transit Management of Central Maryland, Inc.",Motor Bus,Electric Battery,MD,39786,10070029.302101951,22200588,790641,4538713
Tri-County Metropolitan Transportation District of Oregon,Demand Response,Bio-Diesel,OR,443005,9945462.25,21925964.985595,57442650,231430380
"Hampton Jitney, Inc.",Commuter Bus,Diesel Fuel,NY,441108,9902874.6,21832075.400652,535803,49533110
Central Midlands Regional Transportation Authority,Motor Bus,Diesel Fuel,SC,438748,9849892.6,21715270.223812,1968473,12347578
Potomac and Rappahannock Transportation Commission,Motor Bus,Diesel Fuel,VA,437298,9817340.1,21643504.331261996,2158231,54836885
Greater Hartford Transit District,Demand Response,Gasoline,CT,521599,9769549.27,21538143.711627398,503701,4871394
Jacksonville Transportation Authority,Demand Response,Gasoline,FL,518933,9719615.09,21428057.819715798,6678105,36776548
Sarasota County,Motor Bus,Diesel Fuel,FL,431306,9682819.7,21346937.967013996,2189094,11413817
Town of Chapel Hill,Motor Bus,Diesel Fuel,NC,426501,9574947.45,21109120.647218995,3722063,6498337
Whatcom Transportation Authority,Motor Bus,Diesel Fuel,WA,418590,9397345.5,20717575.836209998,3724696,11921726
Rhode Island Public Transit Authority,Motor Bus,Electric Battery,RI,24340,9351262.34906696,20615980,11412537,54303315
Broward County Board of County Commissioners,Demand Response,Liquified Petroleum Gas,FL,724362,9184910.16,20249236.636939198,23209964,119090315
Greater Peoria Mass Transit District,Motor Bus,Diesel Fuel,IL,407286,9143570.7,20158098.836633995,1871743,10047144
Connecticut Department of Transportation - CTTRANSIT Stamford Division,Motor Bus,Diesel Fuel,CT,406472,9125296.4,20117810.949368,3487909,17824627
Gwinnett County Board of Commissioners,Motor Bus,Diesel Fuel,GA,397044,8913637.799999999,19651184.166635998,1177163,12311104
King County,Motor Bus,Bio-Diesel,WA,396458,8900482.1,19622180.847301997,78886848,301530502
Alternativa de Transporte Integrado,Motor Bus,Diesel Fuel,PR,395134,8870758.299999999,19556651.163345996,3732115,15671639
City of Greensboro,Motor Bus,Diesel Fuel,NC,392784,8818000.799999999,19440340.923695996,2263152,9475305
Duluth Transit Authority,Motor Bus,Diesel Fuel,MN,389866,8752491.7,19295918.251653995,2160263,9955251
City of Winston Salem,Motor Bus,Diesel Fuel,NC,386574,8678586.299999999,19132984.928705994,1715582,5888651
Brevard Board of County Commissioners,Motor Bus,Diesel Fuel,FL,386560,8678272,19132292.01664,1855968,12482419
District Department of Transportation,Motor Bus,Diesel Fuel,DC,384336,8628343.2,19022217.985584,2591448,3903496
Worcester Regional Transit Authority,Motor Bus,Diesel Fuel,MA,383374,8606746.299999999,18974605.027905997,4133429,16612797
Metropolitan Transit Authority,Demand Response,Gasoline,TN,453599,8495909.27,18730251.494827397,8162766,34901383
Metropolitan Transit Authority,Motor Bus,Electric Battery,TN,25311,8208836.443468716,18097365,8162766,34901383
City of Tallahassee,Motor Bus,Diesel Fuel,FL,365217,8199121.649999999,18075947.572022997,2588477,10140885
Susquehanna Regional Transportation Authority,Motor Bus,Diesel Fuel,PA,362002,8126944.899999999,17916825.265437998,3072507,19627362
City of Raleigh,Motor Bus,Bio-Diesel,NC,355220,7974689,17581158.863179997,5338054,24490026
City of Nashua,Motor Bus,C Natural Gas,NH,65272,7888121.199999999,17390309.759943996,315974,1787898
Massachusetts Bay Transportation Authority,Rapid Bus,Diesel Fuel,MA,349862,7854401.899999999,17315971.516777996,234975556,1103417623
Southeastern Regional Transit Authority,Motor Bus,Diesel Fuel,MA,349633,7849260.85,17304637.455126997,2368548,8819684
Mass Transportation Authority,Demand Response,Liquified Petroleum Gas,MI,611855,7758321.399999999,17104150.524867997,2913347,43975174
Suburban Mobility Authority for Regional Transportation,Demand Response,Liquified Petroleum Gas,MI,606341,7688403.88,16950008.9619256,4827519,45670297
Capital District Transportation Authority,Demand Response,Gasoline,NY,406803,7619420.19,16797926.1392778,13833236,58050444
Greater Portland Transit District,Motor Bus,C Natural Gas,ME,62634,7569318.899999999,16687471.833317997,1694203,9826377
Merrimack Valley Regional Transit Authority,Motor Bus,Diesel Fuel,MA,335518,7532379.1,16606033.611441998,1886152,9138820
Kitsap County Public Transportation Benefit Area Authority,Motor Bus,Diesel Fuel,WA,331278,7437191.1,16396180.242881998,2739131,24094434
Lexington Transit Authority,Motor Bus,Diesel Fuel,KY,331007,7431107.149999999,16382767.445032997,3733026,17873805
Regional Transit Service,Demand Response,Gasoline,NY,396377,7424141.21,16367410.194390198,9162408,27087937
South Central Transit Authority,Demand Response,Gasoline,PA,394602,7390895.46,16294115.949025199,3560909,17522092
Charleston Area Regional Transportation Authority,Motor Bus,Diesel Fuel,SC,324806,7291894.7,16075856.893514,2230900,12721462
"Lakeland Bus Lines, Inc.",Commuter Bus,Diesel Fuel,NJ,324287,7280243.149999999,16050169.653352998,742278,25589974
Transportation District Commission of Hampton Roads,Demand Response,Gasoline,VA,387375,7255533.75,15995694.815924998,7167154,36797144
Central New York Regional Transportation Authority,Motor Bus,Diesel Fuel,NY,318038,7139953.1,15740883.403321998,6685285,21264729
Greater Roanoke Transit Company,Motor Bus,Diesel Fuel,VA,317394,7125495.3,15709009.448285999,1287135,7602285
Kanawha Valley Regional Transportation Authority,Motor Bus,Diesel Fuel,WV,317155,7120129.75,15697180.449444998,1094139,5380596
King County,Vanpool,Gasoline,WA,379932,7116126.36,15688354.495783199,78886848,301530502
Chatham Area Transit Authority,Motor Bus,Bio-Diesel,GA,313302,7033629.899999999,15506481.150137998,2286113,5186604
"City of Rochester, Minnesota",Motor Bus,Diesel Fuel,MN,312334,7011898.3,15458571.230145998,745406,2558386
Chattanooga Area Regional Transportation Authority,Motor Bus,Diesel Fuel,TN,311691,6997462.95,15426746.768829,1736039,5747254
City of Durham,Motor Bus,Diesel Fuel,NC,311240,6987338,15404425.101559998,5754102,18948578
Pasco County Board of County Commissioners,Motor Bus,Diesel Fuel,FL,309694,6952630.3,15327907.811985997,683554,3766914
County of Lebanon Transit Authority,Motor Bus,C Natural Gas,PA,57030,6892075.5,15194407.48881,243772,1506617
Milwaukee County,Demand Response,Gasoline,WI,365809,6851602.57,15105180.0578734,22735042,75456856
Interurban Transit Partnership,Motor Bus,Diesel Fuel,MI,304682,6840110.899999999,15079845.292357998,6042030,27512044
Central County Transportation Authority,Motor Bus,Diesel Fuel,MI,304210,6829514.5,15056484.256989999,1799216,7244636
Greater Dayton Regional Transit Authority,Demand Response,Gasoline,OH,363013,6799233.49,14989726.1367238,6578178,42234501
"Rockland Coaches, Inc.",Commuter Bus,Diesel Fuel,NJ,299196,6716950.2,14808322.749923998,423369,9615140
Salem Area Mass Transit District,Motor Bus,Bio-Diesel,OR,297696,6683275.2,14734082.171424,3027255,11246133
Connecticut Department of Transportation- CTTransit Waterbury- NET,Motor Bus,Diesel Fuel,CT,295933,6643695.85,14646824.744826999,2036974,6907927
Western Reserve Transit Authority,Motor Bus,Diesel Fuel,OH,295775,6640148.75,14639004.737224998,2015081,6871274
Green Mountain Transit Authority,Motor Bus,Diesel Fuel,VT,292238,6560743.1,14463945.453121997,2455808,10319587
Hillsborough Area Regional Transit Authority,Demand Response,Gasoline,FL,349939,6554357.47,14449867.565511398,12574593,53491817
Transit Authority of Central Kentucky,Demand Response,Electric Battery,KY,8210,6483480.146238355,14293610,98435,1683699
"Trans-Bridge Lines, Inc.",Commuter Bus,Bio-Diesel,PA,287206,6447774.7,14214893.059114,415601,31092890
Monsey New Square Trails Corporation,Commuter Bus,Diesel Fuel,NY,283980,6375351,14055226.321619999,456140,18929810
Rockford Mass Transit District,Motor Bus,Diesel Fuel,IL,279539,6275650.55,13835424.715540998,994754,5035893
Ben Franklin Transit,Demand Response,Gasoline,WA,332007,6218491.11,13709409.8709282,3178377,24325382
Puerto Rico Highway and Transportation Authority – Público,Publico,Gasoline,PR,328044,6144264.12,13545767.564234398,2942179,13502710
Suburban Transit Corporation,Commuter Bus,Diesel Fuel,NJ,269799,6056987.55,13353355.892481,763649,25775386
Collier County,Motor Bus,Diesel Fuel,FL,269461,6049399.45,13336627.015459,844505,8431064
Connecticut Department of Transportation -CTTRANSIT New Britain,Motor Bus,Diesel Fuel,CT,267709,6010067.05,13249914.019770999,439346,2590317
Potomac and Rappahannock Transportation Commission,Vanpool,Gasoline,VA,319931,5992307.63,13210761.247250598,2158231,54836885
Pierce County Transportation Benefit Area Authority,Demand Response,Gasoline,WA,319560,5985358.8,13195441.717655998,6792245,40362320
Bloomington-Normal Public Transit System,Motor Bus,Diesel Fuel,IL,266436,5981488.2,13186908.515484,2125519,5027621
Lehigh and Northampton Transportation Authority,Demand Response,Gasoline,PA,318682,5968913.86,13159186.8740332,3897096,19797124
Maryland Transit Administration,Commuter Bus,Diesel Fuel,MD,263459,5914654.55,13039565.714021,57907024,343206699
Manatee County Board of County Commissioners,Motor Bus,Diesel Fuel,FL,262606,5895504.7,12997347.571713999,1605257,7357313
Casco Bay Island Transit District,Ferry Boat,Diesel Fuel,ME,260472,5847596.399999999,12891727.975367997,1053175,3749303
Transit Authority of River City,Demand Response,Gasoline,KY,310354,5812930.42,12815302.662540399,6247087,22882994
Tompkins Consolidated Area Transit,Motor Bus,Diesel Fuel,NY,258810,5810284.5,12809469.41439,2222629,10556141
Dutchess County,Motor Bus,Diesel Fuel,NY,258781,5809633.45,12808034.096539,827886,3978437
City of Durham,Motor Bus,Bio-Diesel,NC,254651,5716914.95,12603625.037068998,5754102,18948578
Lakeland Area Mass Transit District,Motor Bus,Diesel Fuel,FL,254113,5704836.85,12576997.416246997,848241,4655234
Capital Area Transportation Authority,Demand Response,Gasoline,MI,303814,5690436.22,12545249.4993364,7633877,22977380
Portage Area Regional Transportation Authority,Motor Bus,C Natural Gas,OH,47033,5683938.05,12530923.503790999,904481,2689790
Broome County,Motor Bus,Diesel Fuel,NY,252281,5663708.45,12486324.923038999,1507413,5399291
"Escambia County Board of County Commissioners, FL",Motor Bus,Diesel Fuel,FL,252105,5659757.25,12477614.028494999,894386,4947071
Brockton Area Transit Authority,Motor Bus,Diesel Fuel,MA,250544,5624712.8,12400354.333135998,1859235,10696156
Cambria County Transit Authority,Demand Response,C Natural Gas,PA,46363,5602968.55,12352416.524701,804968,4713352
County of Volusia,Demand Response,Gasoline,FL,298128,5583937.44,12310460.1589728,2292313,19892288
Fort Wayne Public Transportation Corporation,Motor Bus,Bio-Diesel,IN,242668,5447896.6,12010541.802291999,1561932,6664742
County of Lackawanna Transit System,Demand Response,C Natural Gas,PA,45057,5445138.45,12004461.129639,798042,3912648
Valley Regional Transit,Demand Response,C Natural Gas,ID,45006,5438975.1,11990873.284961998,1096198,4478664
City of Fayetteville,Motor Bus,Diesel Fuel,NC,242162,5436536.899999999,11985497.980477998,2195673,9099174
Westchester County,Demand Response,Gasoline,NY,287458,5384088.34,11869868.836130798,21997971,90095305
Central Ohio Transit Authority,Motor Bus,Diesel Fuel,OH,238917,5363686.649999999,11824890.862322997,11526490,51281571
Springfield Mass Transit District,Motor Bus,Bio-Diesel,IL,238858,5362362.1,11821970.732901998,1319966,5001748
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Rapid Bus,Diesel Fuel,CT,238128,5345973.6,11785840.318031998,15128480,66810043
"Adirondack Transit Lines, Inc.",Commuter Bus,Diesel Fuel,NY,237870,5340181.5,11773070.938529998,362745,31065245
County of Miami-Dade,Commuter Bus,Diesel Fuel,FL,237067,5322154.149999999,11733327.482172998,77961885,414128978
Greater Portland Transit District,Motor Bus,Diesel Fuel,ME,235530,5287648.5,11657255.636069998,1694203,9826377
Ann Arbor Area Transportation Authority,Motor Bus,Bio-Diesel,MI,229209,5145742.05,11344405.838271,4680565,23620240
Sarasota County,Demand Response,Gasoline,FL,271252,5080549.96,11200682.052815199,2189094,11413817
City of Tallahassee,Demand Response,C Natural Gas,FL,41992,5074733.2,11187858.307384,2588477,10140885
City of Asheville,Motor Bus,Diesel Fuel,NC,223785,5023973.25,11075951.906414999,1377810,5005600
City of Mobile,Motor Bus,Diesel Fuel,AL,223750,5023187.5,11074219.626249999,568192,3701933
"Transit Management of Central Maryland, Inc.",Motor Bus,Diesel Fuel,MD,221699,4977142.55,10972708.008581,790641,4538713
City of Everett,Motor Bus,Diesel Fuel,WA,220672,4954086.399999999,10921877.959167998,1404970,5193721
Greater New Haven Transit District,Demand Response,Gasoline,CT,263840,4941723.2,10894621.801183999,204258,1462712
Loudoun County,Commuter Bus,Diesel Fuel,VA,216900,4869405,10735187.651099999,526819,7797386
Regional Transportation Authority,Commuter Rail,Diesel Fuel,TN,216007,4849357.149999999,10690989.760032998,173746,4037298
Rhode Island Public Transit Authority,Demand Response,Gasoline,RI,257505,4823068.65,10633033.607162999,11412537,54303315
Lane Transit District,Rapid Bus,Bio-Diesel,OR,212371,4767728.95,10511030.597748999,6311613,22779952
King County,Ferry Boat,Bio-Diesel,WA,208441,4679500.45,10316520.282079,78886848,301530502
Pioneer Valley Transit Authority,Demand Response,Gasoline,MA,248650,4657214.5,10267388.230989998,7079756,27546334
County of Nassau,Demand Response,Gasoline,NY,247853,4642286.69,10234478.0825078,20293586,112757303
"City of Racine, Wisconsin",Motor Bus,Diesel Fuel,WI,205103,4604562.35,10151310.248056998,1037031,4186567
Connecticut Department of Transportation,Commuter Bus,Diesel Fuel,CT,204637,4594100.649999999,10128246.175002998,495143,14795283
Wake County,Demand Response,Gasoline,NC,242719,4546126.87,10022482.2201394,168233,1407813
Town of Blacksburg,Motor Bus,Diesel Fuel,VA,202286,4541320.7,10011886.441634,3520078,6571617
Montachusett Regional Transit Authority,Demand Response,Gasoline,MA,242287,4538035.51,10004643.846056199,874511,7073693
Cobb County,Motor Bus,C Natural Gas,GA,37435,4524019.75,9973744.421245,854074,4391380
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Ferry Boat,Diesel Fuel,NY,201156,4515952.2,9955958.539164,66645285,1150894931
Greater Lynchburg Transit Company,Motor Bus,Diesel Fuel,VA,201130,4515368.5,9954671.702469999,520122,2306018
City of Charlotte North Carolina,Commuter Bus,Diesel Fuel,NC,200282,4496330.899999999,9912701.028757999,14027141,67531449
Loudoun County,Motor Bus,Gasoline,VA,238605,4469071.65,9852604.741023,526819,7797386
Connecticut Department of Transportation,Commuter Rail,Diesel Fuel,CT,198924,4465843.8,9845488.558355998,495143,14795283
Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Commuter Bus,Diesel Fuel,CT,195369,4386034.05,9669538.387310999,319168,4391736
County of Miami-Dade,Motor Bus,Gasoline,FL,233907,4381078.11,9658612.4228682,77961885,414128978
Central Ohio Transit Authority,Demand Response,C Natural Gas,OH,36123,4365464.55,9624190.456221,11526490,51281571
City of Evansville,Motor Bus,Diesel Fuel,IN,191605,4301532.25,9483244.028995,906183,3415960
Norwalk Transit District,Motor Bus,Diesel Fuel,CT,191148,4291272.6,9460625.399411999,1564640,5619863
Greater Attleboro-Taunton Regional Transit Authority,Demand Response,Gasoline,MA,226694,4245978.62,9360769.3852244,707860,3171004
Skagit Transit,Motor Bus,Diesel Fuel,WA,188048,4221677.6,9307194.870511997,573848,7120242
Suffolk County,Motor Bus,Gasoline,NY,225361,4221011.53,9305726.4392686,3149963,25789843
Southeast Area Transit District,Motor Bus,Diesel Fuel,CT,187864,4217546.8,9298088.026215998,1211688,6890209
"City of Decatur, Il",Motor Bus,Bio-Diesel,IL,187706,4213999.7,9290268.018614,909640,2611423
Indianapolis and Marion County Public Transportation,Demand Response,Gasoline,IN,224786,4210241.78,9281983.2330236,6888880,35204901
Central New York Regional Transportation Authority,Demand Response,Gasoline,NY,222139,4160663.47,9172681.8992314,6685285,21264729
Westmoreland County Transit Authority,Demand Response,Gasoline,PA,221127,4141708.71,9130893.8562402,350383,4294890
Athens-Clarke County Unified Government,Motor Bus,Diesel Fuel,GA,182134,4088908.3,9014489.016345998,1186787,4197292
City of Charlotte North Carolina,Demand Response,Diesel Fuel,NC,179871,4038103.9499999997,8902484.730248999,14027141,67531449
City of Kenosha,Motor Bus,Bio-Diesel,WI,179561,4031144.4499999997,8887141.677358998,1248670,4037901
"County Commissioners of Charles County, MD",Motor Bus,Gasoline,MD,213772,4003949.56,8827187.2789672,542316,4398362
County of Pierce,Ferry Boat,Diesel Fuel,WA,178238,4001443.1,8821661.487122,446539,1762277
"Audubon Area Community Services, Inc.",Demand Response,Gasoline,KY,212438,3978963.74,8772103.0404788,132537,2512446
Piedmont Authority for Regional Transportation,Commuter Bus,Diesel Fuel,NC,177216,3978499.1999999997,8771078.906303998,367508,9660890
County of Fayette,Motor Bus,C Natural Gas,PA,32917,3978019.4499999997,8770021.239858998,181885,2022566
Metro Transit,Commuter Rail,Bio-Diesel,MN,176795,3969047.75,8750242.050604999,44977111,175173901
Lowell Regional Transit Authority,Motor Bus,Diesel Fuel,MA,176594,3964535.3,8740293.813086,812372,4282663
Greenville Transit Authority,Motor Bus,Diesel Fuel,SC,175417,3938111.65,8682039.705822999,764307,4016483
Niagara Frontier Transportation Authority,Demand Response,Gasoline,NY,209136,3917117.2800000003,8635755.0978336,14531216,46252415
Lehigh and Northampton Transportation Authority,Motor Bus,Diesel Fuel,PA,173387,3892538.15,8581567.456253,3897096,19797124
Pierce County Transportation Benefit Area Authority,Vanpool,Gasoline,WA,204380,3828037.4,8439367.812787998,6792245,40362320
Central Florida Regional Transportation Authority,Rapid Bus,Electric Battery,FL,10575,3808615.5437218207,8396550,18418220,111018391
The Tri-State Transit Authority,Motor Bus,Diesel Fuel,WV,169122,3796788.9,8370476.744717999,731480,4274626
Clark County Public Transportation Benefit Area Authority,Demand Response,Diesel Fuel,WA,167984,3771240.8,8314152.892495999,4492306,19621461
Snohomish County Public Transportation Benefit Area Corporation,Demand Response,Gasoline,WA,200012,3746224.7600000002,8259002.0303911995,7146008,58898665
King County,Demand Response,Liquified Petroleum Gas,WA,292568,3709762.2399999998,8178616.029548799,78886848,301530502
"JAUNT, Inc.",Demand Response,Gasoline,VA,197171,3693012.83,8141689.9452746,240235,2433504
Southwest Ohio Regional Transit Authority,Demand Response,Diesel Fuel,OH,161428,3624058.6,7989672.070731999,13083835,70844918
"City of Huntsville, Alabama",Motor Bus,Diesel Fuel,AL,158993,3569392.85,7869154.864967,701566,3228556
Kitsap County Public Transportation Benefit Area Authority,Motor Bus,Bio-Diesel,WA,157870,3544181.5,7813573.418529999,2739131,24094434
North Carolina State University,Motor Bus,Diesel Fuel,NC,156120,3504894,7726959.4102799995,2560095,4157753
City of Yakima,Motor Bus,Diesel Fuel,WA,154538,3469378.1,7648660.346821999,646711,3435365
City of Harrisonburg,Motor Bus,Diesel Fuel,VA,152508,3423804.6,7548188.097251999,1522746,3218771
Williamsburg Area Transit Authority,Motor Bus,Diesel Fuel,VA,149953,3366444.85,7421731.645207,740818,3497142
City of La Crosse,Motor Bus,Diesel Fuel,WI,149236,3350348.1999999997,7386244.648683999,685372,2005024
City of Appleton,Motor Bus,Diesel Fuel,WI,148796,3340470.1999999997,7364467.412323998,777302,3335281
City of Waukesha,Motor Bus,Diesel Fuel,WI,148488,3333555.6,7349223.346871999,466611,2014029
Niagara Frontier Transportation Authority,Demand Response,C Natural Gas,NY,27370,3307664.5,7292143.309989999,14531216,46252415
City of Greensboro,Demand Response,Gasoline,NC,175931,3295187.63,7264636.552850599,2263152,9475305
Cape Cod Regional Transit Authority,Motor Bus,Diesel Fuel,MA,146384,3286320.8,7245088.562095999,726134,8680561
Washington County Transportation Authority,Demand Response,Gasoline,PA,172213,3225549.49,7111110.9166438,246090,2597556
"Orange-Newark-Elizabeth, Inc.",Motor Bus,Diesel Fuel,NJ,143674,3225481.3,7110960.583605999,1692482,4056066
Muncie Indiana Transit System,Motor Bus,Bio-Diesel,IN,143175,3214278.75,7086263.217824999,919115,3654917
Lee County,Demand Response,Liquified Petroleum Gas,FL,251121,3184214.28,7019982.485973599,1742894,10735134
City of Winston Salem,Demand Response,Gasoline,NC,169586,3176345.7800000003,7002635.4335036,1715582,5888651
Housatonic Area Regional Transit,Motor Bus,Diesel Fuel,CT,138439,3107955.55,6851860.964640999,598732,3824120
Collier County,Demand Response,Gasoline,FL,165897,3107250.81,6850307.280742199,844505,8431064
Interurban Transit Partnership,Demand Response,Liquified Petroleum Gas,MI,242232,3071501.76,6771494.210131199,6042030,27512044
Greater Lafayette Public Transportation Corporation,Demand Response,C Natural Gas,IN,25171,3041915.3499999996,6706267.418916998,4447311,10619883
Atlanta-Region Transit Link Authority,Vanpool,Gasoline,GA,162233,3038624.09,6699011.441295799,845274,27738955
Chelan Douglas PTBA,Motor Bus,Diesel Fuel,WA,135184,3034880.8,6690758.909295999,1113038,9761540
Spokane Transit Authority,Demand Response,Diesel Fuel,WA,131642,2955362.9,6515452.156597999,9403739,46318134
Kitsap County Public Transportation Benefit Area Authority,Demand Response,Liquified Petroleum Gas,WA,228158,2893043.44,6378061.428692799,2739131,24094434
Lexington Transit Authority,Demand Response,Gasoline,KY,153493,2874923.89,6338114.7063718,3733026,17873805
First Tennessee Human Resource Agency,Demand Response,Gasoline,TN,152761,2861213.5300000003,6307888.5725086,141537,2243178
